OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
1,DP2025673746,DP2025673746131300,1313,0,assault-simple,other-crimes-against-persons,"12/17/2025 3:30:00 PM",,"12/17/2025 5:03:00 PM","800 BLK E 14TH AVE",0,0,-104.977445,39.738645,6,623,capitol-hill,1,0,1,999999.999999,999999.999999
2,DP2025673546,DP2025673546299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/17/2025 11:18:00 AM",,"12/17/2025 12:22:00 PM","5000 BLK N UTOPIA CT",0,0,-104.836233,39.790129,5,521,montbello,1,0,1,999999.999999,999999.999999
3,DP2025674746,DP2025674746355000,3550,0,drug-poss-paraphernalia,drug-alcohol,"12/17/2025 11:58:00 PM",,"12/18/2025 2:28:00 AM","21ST ST / CURTIS ST",0,0,-104.988774,39.751862,6,611,five-points,1,0,1,999999.999999,999999.999999
4,DP2025673746,DP2025673746501601,5016,1,violation-of-court-order,all-other-crimes,"12/17/2025 3:30:00 PM",,"12/17/2025 5:03:00 PM","800 BLK E 14TH AVE",0,0,-104.977445,39.738645,6,623,capitol-hill,1,0,1,999999.999999,999999.999999
5,DP2025673827,DP2025673827240400,2404,0,theft-of-motor-vehicle,auto-theft,"12/16/2025 2:00:00 AM","12/16/2025 12:00:00 PM","12/17/2025 3:58:00 PM","8405 E HAMPDEN AVE",0,0,-104.893620,39.653674,3,323,hampden,1,0,1,999999.999999,999999.999999
6,DP2025675137,DP2025675137240400,2404,0,theft-of-motor-vehicle,auto-theft,"12/10/2025 7:00:00 AM","12/17/2025 9:00:00 PM","12/18/2025 5:45:00 AM","1750 LITTLE RAVEN ST",0,0,-105.004110,39.756844,6,612,union-station,1,0,1,999999.999999,999999.999999
7,DP20256272510,DP20256272510200600,2006,0,arson-residence,arson,"11/21/2025 6:06:00 AM",,"11/21/2025 9:19:00 AM","3000 BLK W CUSTER PL",0,0,-105.025849,39.706486,4,412,westwood,1,0,1,999999.999999,999999.999999
8,DP20256019076,DP20256019076230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/14/2025 2:00:00 AM","12/13/2025 7:30:00 PM","12/17/2025 12:15:00 AM","9600 E GIRARD AVE",0,0,-104.876709,39.653945,3,323,hampden,1,0,1,999999.999999,999999.999999
9,DP20256019107,DP20256019107229900,2299,0,burglary-other,burglary,"11/17/2025 7:00:00 PM","12/17/2025 1:00:00 PM","12/17/2025 9:05:00 PM","1350 N SPEER BLVD",0,0,-104.996283,39.737879,6,611,civic-center,1,0,1,999999.999999,999999.999999
10,DP20256019092,DP20256019092239900,2399,0,theft-other,larceny,"12/16/2025 5:14:00 PM","12/16/2025 10:20:00 AM","12/17/2025 6:58:00 PM","5100 BLK E YALE CIR",0,0,-104.928489,39.668596,3,314,university-hills,1,0,1,999999.999999,999999.999999
11,DP2025673830,DP2025673830230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/17/2025 7:00:00 AM","12/17/2025 8:00:00 AM","12/17/2025 3:44:00 PM","18600 E 66TH AVE",0,0,-104.770564,39.815686,5,522,dia,1,0,1,999999.999999,999999.999999
12,DP20256019061,DP20256019061230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/16/2025 9:43:00 PM","12/16/2025 3:00:00 PM","12/17/2025 3:56:00 AM","99 E 9TH AVE",0,0,-104.986199,39.730520,6,623,capitol-hill,1,0,1,999999.999999,999999.999999
13,DP20256019100,DP20256019100299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/16/2025 11:00:00 PM","12/16/2025 9:05:00 PM","12/17/2025 4:26:00 PM","3130 S SHERIDAN BLVD",0,0,-105.049127,39.654738,4,423,harvey-park-south,1,0,1,999999.999999,999999.999999
14,DP20255004067,DP20255004067361200,3612,0,sex-off-fail-to-register,all-other-crimes,"12/11/2025 11:00:00 PM","12/17/2025 12:35:00 PM","12/17/2025 7:39:00 PM","1331 N CHEROKEE ST",0,0,-104.992316,39.737154,6,611,civic-center,1,0,1,999999.999999,999999.999999
15,DP2025673226,DP2025673226359900,3599,0,drug-pcs-other-drug,drug-alcohol,"12/17/2025 4:46:00 AM",,"12/17/2025 7:02:00 AM","E 47TH AVE / N PEARL WASHINGTON ALY",0,0,-104.979194,39.781850,1,112,globeville,1,0,1,999999.999999,999999.999999
16,DP2025675004,DP2025675004229900,2299,0,burglary-other,burglary,"12/18/2025 3:38:00 AM",,"12/18/2025 4:32:00 AM","1000 BLK S HARRISON ST",0,0,-104.941586,39.697274,3,312,belcaro,1,0,1,999999.999999,999999.999999
18,DP2025674470,DP2025674470230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,"12/17/2025 9:00:00 PM",,"12/17/2025 9:00:00 PM","3200 BLK S PARKER RD",0,0,-104.850855,39.657898,3,323,kennedy,1,0,1,999999.999999,999999.999999
19,DP20256019075,DP20256019075299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/13/2025 10:40:00 PM","12/14/2025 3:40:00 PM","12/16/2025 11:34:00 PM","300 S CLINTON ST",0,0,-104.878087,39.707637,3,321,windsor,1,0,1,999999.999999,999999.999999
20,DP2025673570,DP2025673570120200,1202,0,robbery-business,robbery,"12/17/2025 12:00:00 PM",,"12/17/2025 12:48:00 PM","3495 S MONACO ST",0,0,-104.913456,39.653642,3,323,hampden,1,0,1,999999.999999,999999.999999
21,DP2025674435,DP2025674435299900,2999,0,criminal-mischief-other,public-disorder,"12/16/2025 4:00:00 AM","12/17/2025 8:00:00 AM","12/17/2025 9:59:00 PM","2100 BLK E 48TH AVE",0,0,-104.962258,39.784560,2,212,elyria-swansea,1,0,1,999999.999999,999999.999999
22,DP2025673929,DP2025673929739902,7399,2,public-order-crimes-other,all-other-crimes,"12/17/2025 7:52:00 PM",,"12/17/2025 7:58:00 PM","W 11TH AVE / N SPEER BLVD",0,0,-104.994098,39.733629,1,123,lincoln-park,1,0,1,999999.999999,999999.999999
23,DP2025674053,DP2025674053120500,1205,0,robbery-street,robbery,"12/17/2025 5:45:00 PM",,"12/17/2025 6:19:00 PM","4702 S NEWPORT ST",0,0,-104.906825,39.628025,3,324,southmoor-park,1,0,1,999999.999999,999999.999999
24,DP20256019085,DP20256019085239900,2399,0,theft-other,larceny,"12/6/2025 12:00:00 AM","12/7/2025 10:00:00 AM","12/17/2025 5:29:00 PM","3500 BLK N OSCEOLA ST",0,0,-105.037910,39.766054,1,113,west-highland,1,0,1,999999.999999,999999.999999
25,DP2025673211,DP2025673211570700,5707,0,criminal-trespassing,all-other-crimes,"12/17/2025 4:34:00 AM",,"12/17/2025 5:20:00 AM","1400 BLK N QUINCE ST",0,0,-104.902411,39.739581,2,223,east-colfax,1,0,1,999999.999999,999999.999999
26,DP2025674473,DP2025674473352000,3520,0,drug-opium-or-deriv-sell,drug-alcohol,"12/17/2025 10:30:00 PM",,"12/18/2025 12:45:00 AM","I25 HWYSB / E EVANS AVE",0,0,-104.933980,39.678446,3,322,university-hills,1,0,1,999999.999999,999999.999999
27,DP2025675222,DP2025675222359900,3599,0,drug-pcs-other-drug,drug-alcohol,"12/18/2025 4:53:00 AM",,"12/18/2025 5:27:00 AM","6440 E HAMPDEN AVE",0,0,-104.914863,39.652315,3,324,hampden-south,1,0,1,999999.999999,999999.999999
28,DP2025674579,DP2025674579239900,2399,0,theft-other,larceny,"12/17/2025 6:00:00 AM",,"12/18/2025 2:47:00 AM","3241 N GROVE ST",0,0,-105.028504,39.763014,1,113,west-highland,1,0,1,999999.999999,999999.999999
29,DP2025674502,DP2025674502220200,2202,0,burglary-residence-by-force,burglary,"12/17/2025 9:53:00 PM",,"12/18/2025 2:57:00 AM","1400 BLK LITTLE RAVEN ST",0,0,-105.006843,39.753591,6,612,union-station,1,0,1,999999.999999,999999.999999
30,DP2025674463,DP2025674463501601,5016,1,violation-of-court-order,all-other-crimes,"11/24/2025 5:00:00 PM",,"12/17/2025 11:05:00 PM","520 W COLFAX AVE",0,0,-104.994715,39.739737,6,611,civic-center,1,0,1,999999.999999,999999.999999
31,DP2025672950,DP2025672950299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/16/2025 7:01:00 AM","12/16/2025 3:00:00 AM","12/17/2025 6:33:00 AM","5200 N YAMPA ST",0,0,-104.773273,39.791295,5,522,gateway-green-valley-ranch,1,0,1,999999.999999,999999.999999
32,DP2025673954,DP2025673954230800,2308,0,theft-from-bldg,larceny,"12/10/2025 10:30:00 PM",,"12/17/2025 5:02:00 PM","3070 BLAKE ST",0,0,-104.980986,39.764187,2,211,five-points,1,0,1,999999.999999,999999.999999
33,DP2025673930,DP2025673930355000,3550,0,drug-poss-paraphernalia,drug-alcohol,"12/17/2025 4:40:00 PM",,"12/17/2025 8:32:00 PM","N SPEER BLVD / W 11TH AVE",0,0,-104.994098,39.733629,1,123,lincoln-park,1,0,1,999999.999999,999999.999999
34,DP2025673878,DP2025673878240400,2404,0,theft-of-motor-vehicle,auto-theft,"12/3/2025 1:00:00 AM","12/17/2025 9:18:00 AM","12/17/2025 6:43:00 PM","448 N GOLFERS WAY",0,0,-104.881670,39.723746,3,321,lowry-field,1,0,1,999999.999999,999999.999999
35,DP2025674473,DP2025674473359900,3599,0,drug-pcs-other-drug,drug-alcohol,"12/17/2025 10:30:00 PM",,"12/18/2025 12:45:00 AM","I25 HWYSB / E EVANS AVE",0,0,-104.933980,39.678446,3,322,university-hills,1,0,1,999999.999999,999999.999999
36,DP2025673325,DP2025673325299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/17/2025 5:33:00 AM",,"12/17/2025 5:55:00 AM","7800 E SMITH RD",0,0,-104.897950,39.769688,5,512,central-park,1,0,1,999999.999999,999999.999999
37,DP2025673613,DP2025673613299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/17/2025 12:00:00 AM","12/17/2025 6:30:00 AM","12/17/2025 2:40:00 PM","6762 N TOWER RD",0,0,-104.770443,39.819081,5,522,dia,1,0,1,999999.999999,999999.999999
38,DP2025657264,DP2025657264240400,2404,0,theft-of-motor-vehicle,auto-theft,"12/8/2025 9:40:00 PM","12/8/2025 3:45:00 PM","12/8/2025 10:51:00 PM","950 WALNUT ST",0,0,-105.006744,39.745978,1,123,auraria,1,0,1,999999.999999,999999.999999
39,DP20256019060,DP20256019060299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/11/2025 5:30:00 AM","12/16/2025 11:25:00 PM","12/17/2025 7:41:00 AM","6901 N TOWER RD",0,0,-104.773174,39.822437,5,522,dia,1,0,1,999999.999999,999999.999999
40,DP2025673111,DP2025673111239901,2399,1,theft-bicycle,larceny,"12/16/2025 1:30:00 AM","12/16/2025 8:30:00 PM","12/17/2025 7:27:00 AM","00 BLK W 1ST AVE",0,0,-104.988217,39.718485,3,311,baker,1,0,1,999999.999999,999999.999999
41,DP2025673783,DP2025673783230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"10/29/2025 7:00:00 AM",,"12/17/2025 5:28:00 PM","2727 S HAVANA ST",0,0,-104.866663,39.666761,3,323,hampden,1,0,1,999999.999999,999999.999999
42,DP2025674289,DP2025674289131500,1315,0,aggravated-assault,aggravated-assault,"12/17/2025 4:53:00 PM",,"12/17/2025 8:33:00 PM","490 W COLFAX AVE",0,0,-104.993574,39.739773,6,611,civic-center,1,0,1,999999.999999,999999.999999
43,DP20256019112,DP20256019112230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/17/2025 3:45:00 PM","12/17/2025 1:45:00 PM","12/17/2025 11:04:00 PM","7970 E NORTHFIELD BLVD",0,0,-104.894921,39.781002,5,511,central-park,1,0,1,999999.999999,999999.999999
44,DP2025674384,DP2025674384240400,2404,0,theft-of-motor-vehicle,auto-theft,"12/16/2025 12:30:00 AM","12/16/2025 9:00:00 AM","12/17/2025 9:07:00 PM","8405 E HAMPDEN AVE",0,0,-104.893620,39.653674,3,323,hampden,1,0,1,999999.999999,999999.999999
45,DP2025673770,DP2025673770239900,2399,0,theft-other,larceny,"12/17/2025 2:15:00 PM",,"12/17/2025 3:07:00 PM","1375 E 19TH AVE",0,0,-104.971468,39.746133,6,622,city-park-west,1,0,1,999999.999999,999999.999999
46,DP2025673924,DP2025673924230300,2303,0,theft-shoplift,larceny,"12/17/2025 4:39:00 PM",,"12/17/2025 5:41:00 PM","7311 E 29TH DR",0,0,-104.902524,39.759686,5,512,central-park,1,0,1,999999.999999,999999.999999
47,DP2025674560,DP2025674560239900,2399,0,theft-other,larceny,"12/14/2025 7:18:00 AM",,"12/17/2025 11:57:00 PM","3737 N QUEBEC ST",0,0,-104.903732,39.768655,2,221,northeast-park-hill,1,0,1,999999.999999,999999.999999
48,DP2025674005,DP2025674005299900,2999,0,criminal-mischief-other,public-disorder,"12/10/2025 2:00:00 PM","12/17/2025 10:00:00 AM","12/17/2025 6:24:00 PM","3625 E 48TH AVE",0,0,-104.944218,39.784581,2,212,elyria-swansea,1,0,1,999999.999999,999999.999999
49,DP2025674307,DP2025674307131502,1315,2,menacing-felony-w-weap,aggravated-assault,"12/17/2025 8:00:00 PM",,"12/17/2025 10:42:00 PM","10890 E DARTMOUTH AVE",0,0,-104.860467,39.659818,3,323,kennedy,1,0,1,999999.999999,999999.999999
50,DP2025673957,DP2025673957220300,2203,0,burglary-business-by-force,burglary,"12/17/2025 4:00:00 AM","12/17/2025 8:30:00 AM","12/17/2025 8:36:00 PM","2243 N FEDERAL BLVD",0,0,-105.025698,39.750830,1,121,sloan-lake,1,0,1,999999.999999,999999.999999
51,DP2025673974,DP2025673974239901,2399,1,theft-bicycle,larceny,"12/16/2025 10:00:00 PM",,"12/17/2025 10:53:00 PM","10406 E MLK BLVD",0,0,-104.866832,39.759447,5,512,central-park,1,0,1,999999.999999,999999.999999
52,DP2025674781,DP2025674781230300,2303,0,theft-shoplift,larceny,"12/18/2025 12:15:00 AM",,"12/18/2025 12:15:00 AM","7505 E 35TH AVE",0,0,-104.899919,39.766137,5,512,central-park,1,0,1,999999.999999,999999.999999
53,DP2025674367,DP2025674367360500,3605,0,indecent-exposure,other-crimes-against-persons,"12/17/2025 8:37:00 PM",,"12/17/2025 9:06:00 PM","6201 E COLFAX AVE",0,0,-104.915501,39.740350,2,222,south-park-hill,1,0,1,999999.999999,999999.999999
54,DP2025674594,DP2025674594260700,2607,0,fraud-by-telephone,white-collar-crime,"12/8/2025 3:00:00 PM",,"12/17/2025 11:00:00 PM","1400 BLK S ST PAUL ST",0,0,-104.951536,39.689620,3,312,cory-merrill,1,0,1,999999.999999,999999.999999
55,DP2025651738,DP2025651738531100,5311,0,public-fighting,all-other-crimes,"12/5/2025 7:40:00 PM",,"12/8/2025 6:14:00 PM","E TENNESSEE AVE / S JASMINE ST",0,0,-104.918581,39.698757,3,322,washington-virginia-vale,1,0,1,999999.999999,999999.999999
56,DP2025673424,DP2025673424121200,1212,0,robbery-car-jacking,robbery,"12/17/2025 7:50:00 AM",,"12/17/2025 9:16:00 AM","2900 W 25TH AVE",0,0,-105.023756,39.753482,1,121,jefferson-park,1,0,1,999999.999999,999999.999999
57,DP2025674246,DP2025674246230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/17/2025 12:00:00 AM","12/17/2025 11:45:00 AM","12/17/2025 7:21:00 PM","2600 WEWATTA WAY",0,0,-104.989534,39.761772,6,612,five-points,1,0,1,999999.999999,999999.999999
58,DP2025673198,DP2025673198131300,1313,0,assault-simple,other-crimes-against-persons,"12/17/2025 3:15:00 AM",,"12/17/2025 4:21:00 AM","2200 BLK W 29TH AVE",0,0,-105.013413,39.758604,1,113,highland,1,0,1,999999.999999,999999.999999
59,DP2025673898,DP2025673898269904,2699,4,drug-fraud-to-obtain,drug-alcohol,"12/17/2025 3:45:00 PM",,"12/17/2025 5:33:00 PM","757 E 20TH AVE",0,0,-104.977538,39.748084,6,621,five-points,1,0,1,999999.999999,999999.999999
60,DP2025674801,DP2025674801570700,5707,0,criminal-trespassing,all-other-crimes,"12/18/2025 1:59:00 AM",,"12/18/2025 2:20:00 AM","500 BLK S ALTON WAY",0,0,-104.883680,39.706214,3,321,windsor,1,0,1,999999.999999,999999.999999
61,DP2025673414,DP2025673414220400,2204,0,burglary-residence-no-force,burglary,"12/17/2025 7:33:00 AM",,"12/17/2025 7:40:00 AM","8700 BLK E 35TH AVE",0,0,-104.887230,39.764897,5,512,central-park,1,0,1,999999.999999,999999.999999
62,DP20256019065,DP20256019065230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/16/2025 12:30:00 AM","12/16/2025 7:00:00 AM","12/16/2025 7:38:00 PM","1091 E BAYAUD AVE",0,0,-104.975001,39.715599,3,311,speer,1,0,1,999999.999999,999999.999999
63,DP2025674939,DP2025674939299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/11/2025 4:32:00 PM","12/17/2025 6:00:00 PM","12/18/2025 1:00:00 AM","3705 E 42ND AVE",0,0,-104.943979,39.775174,2,212,elyria-swansea,1,0,1,999999.999999,999999.999999
65,DP2025672389,DP2025672389230300,2303,0,theft-shoplift,larceny,"12/16/2025 8:07:00 PM",,"12/16/2025 8:07:00 PM","2780 S COLORADO BLVD",0,0,-104.937657,39.666016,3,314,university-hills,1,0,1,999999.999999,999999.999999
66,DP20256019087,DP20256019087230800,2308,0,theft-from-bldg,larceny,"12/16/2025 7:30:00 PM","12/16/2025 12:45:00 PM","12/17/2025 5:43:00 PM","1701 WEWATTA ST",0,0,-105.001363,39.754477,6,612,union-station,1,0,1,999999.999999,999999.999999
67,DP20256019058,DP20256019058230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/17/2025 2:40:00 PM","12/17/2025 7:40:00 AM","12/17/2025 2:55:00 PM","21500 BLK E RANDOLPH PL",0,0,-104.736601,39.797586,5,523,gateway-green-valley-ranch,1,0,1,999999.999999,999999.999999
68,DP2025672449,DP2025672449570700,5707,0,criminal-trespassing,all-other-crimes,"12/16/2025 8:35:00 PM",,"12/16/2025 8:35:00 PM","E BRUCE RANDOLPH AVE / N COLORADO BLVD",0,0,-104.940571,39.764474,2,221,clayton,1,0,1,999999.999999,999999.999999
69,DP2025673532,DP2025673532229900,2299,0,burglary-other,burglary,"12/17/2025 11:00:00 AM",,"12/17/2025 1:00:00 PM","4903 N BRIGHTON BLVD",0,0,-104.967043,39.785570,2,212,elyria-swansea,1,0,1,999999.999999,999999.999999
70,DP2025673659,DP2025673659299901,2999,1,criminal-mischief-mtr-veh,public-disorder,"12/17/2025 1:52:00 PM",,"12/17/2025 2:47:00 PM","24TH ST / BLAKE ST",0,0,-104.989494,39.758039,6,612,five-points,1,0,1,999999.999999,999999.999999
71,DP2025674093,DP2025674093230800,2308,0,theft-from-bldg,larceny,"10/10/2025 5:00:00 PM","11/1/2025 10:00:00 AM","12/17/2025 8:43:00 PM","700 BLK E 14TH AVE",0,0,-104.978491,39.738543,6,623,capitol-hill,1,0,1,999999.999999,999999.999999
72,DP20256019057,DP20256019057230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/14/2025 10:15:00 PM","12/14/2025 4:30:00 PM","12/17/2025 2:19:00 PM","1515 S BROADWAY ST",0,0,-104.987920,39.689037,3,313,overland,1,0,1,999999.999999,999999.999999
73,DP2025674617,DP2025674617359900,3599,0,drug-pcs-other-drug,drug-alcohol,"12/17/2025 10:58:00 PM",,"12/18/2025 12:23:00 AM","W 8TH AVE / N ZUNI ST",0,0,-105.015892,39.729322,1,122,lincoln-park,1,0,1,999999.999999,999999.999999
74,DP2025673720,DP2025673720220300,2203,0,burglary-business-by-force,burglary,"12/17/2025 2:35:00 PM",,"12/17/2025 2:59:00 PM","1616 N FEDERAL BLVD",0,0,-105.024768,39.742670,1,121,sun-valley,1,0,1,999999.999999,999999.999999
75,DP2025672559,DP2025672559230800,2308,0,theft-from-bldg,larceny,"12/8/2025 9:15:00 AM",,"12/16/2025 9:26:00 PM","1100 BLK N NEWPORT ST",0,0,-104.909688,39.734773,2,223,montclair,1,0,1,999999.999999,999999.999999
76,DP2025672773,DP2025672773230300,2303,0,theft-shoplift,larceny,"12/16/2025 11:05:00 PM",,"12/16/2025 11:38:00 PM","1585 S COLORADO BLVD",0,0,-104.941906,39.687933,3,312,cory-merrill,1,0,1,999999.999999,999999.999999
77,DP2025673862,DP2025673862239900,2399,0,theft-other,larceny,"12/13/2025 1:00:00 AM","12/13/2025 10:00:00 AM","12/17/2025 4:30:00 PM","900 BLK N NAVAJO ST",0,0,-105.003931,39.731875,1,123,lincoln-park,1,0,1,999999.999999,999999.999999
78,DP2025673732,DP2025673732230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,"12/16/2025 11:00:00 PM","12/17/2025 7:30:00 AM","12/17/2025 2:50:00 PM","7760 E 29TH AVE",0,0,-104.897707,39.757742,5,512,central-park,1,0,1,999999.999999,999999.999999
